Date,esw,MaxT,MinT,Radn,Rain,es,sws(1),sws(2),sws(3),sws(4),sws(5),sws(6)
2012-01-01,10.227,39.0,17.0,31.0,0.0,0.573,0.14,0.191,0.248,0.203,0.2,0.2
2012-02-01,9.682,40.5,20.0,29.0,0.0,0.545,0.137,0.191,0.248,0.203,0.2,0.2
2012-03-01,9.162,38.5,22.0,20.0,0.0,0.52,0.133,0.191,0.248,0.203,0.2,0.2
2012-04-01,8.664,29.0,20.0,29.0,0.0,0.498,0.13,0.191,0.248,0.203,0.2,0.2
2012-05-01,8.185,28.5,11.0,30.0,0.0,0.479,0.127,0.191,0.248,0.203,0.2,0.2
2012-06-01,7.722,29.0,10.5,28.0,0.0,0.462,0.123,0.191,0.248,0.203,0.2,0.2
2012-07-01,7.275,34.5,14.5,18.0,0.0,0.447,0.121,0.191,0.248,0.203,0.2,0.2
2012-08-01,6.842,28.5,20.0,17.0,3.0,3.433,0.118,0.191,0.248,0.203,0.2,0.2
2012-09-01,6.422,24.5,11.5,24.0,0.4,0.82,0.115,0.191,0.248,0.203,0.2,0.2
2012-10-01,6.013,25.0,13.0,24.0,0.0,0.409,0.112,0.191,0.248,0.203,0.2,0.2
2012-11-01,5.615,21.5,12.0,24.0,0.0,0.398,0.109,0.191,0.248,0.203,0.2,0.2
2012-12-01,5.227,24.5,7.5,27.0,0.0,0.388,0.107,0.191,0.248,0.203,0.2,0.2
2012-01-13,4.848,25.5,12.5,24.0,0.0,0.379,0.104,0.191,0.248,0.203,0.2,0.2
2012-01-14,4.478,26.0,12.0,32.0,0.0,0.37,0.102,0.191,0.248,0.203,0.2,0.2
2012-01-15,4.115,31.0,12.0,31.0,0.0,0.362,0.099,0.191,0.248,0.203,0.2,0.2
2012-01-16,3.76,33.5,16.5,30.0,0.0,0.355,0.097,0.191,0.248,0.203,0.2,0.2
2012-01-17,3.413,36.0,21.5,27.0,0.0,0.348,0.095,0.191,0.248,0.203,0.2,0.2
2012-01-18,3.072,35.0,22.0,26.0,0.3,0.641,0.092,0.191,0.248,0.203,0.2,0.2
2012-01-19,2.737,34.5,15.0,31.0,0.6,0.935,0.09,0.191,0.248,0.203,0.2,0.2
2012-01-20,2.408,34.0,14.0,27.0,0.0,0.329,0.088,0.191,0.248,0.203,0.2,0.2
2012-01-21,2.085,33.0,15.5,31.0,0.0,0.323,0.086,0.191,0.248,0.203,0.2,0.2
2012-01-22,1.767,34.5,19.5,30.0,0.0,0.318,0.084,0.191,0.248,0.203,0.2,0.2
2012-01-23,1.455,33.5,19.5,31.0,0.0,0.313,0.082,0.191,0.248,0.203,0.2,0.2
