Date,esw,MaxT,MinT,Radn,Rain,es,sws(1),sws(2),sws(3),sws(4),sws(5),sws(6)
(dd/mm/yyyy),(mm),(oC),(oC),(MJ/m^2),(mm),(mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm)
1/1/2012,10.227,38.5,17,31,0,0.573,0.14,0.191,0.248,0.203,0.2,0.2
2/1/2012,9.682,40.5,20.5,29,0,0.545,0.137,0.191,0.248,0.203,0.2,0.2
3/1/2012,9.162,39,22.5,20,0,0.52,0.133,0.191,0.248,0.203,0.2,0.2
4/1/2012,8.664,29,20.5,29,0,0.498,0.13,0.191,0.248,0.203,0.2,0.2
5/1/2012,8.185,29,11,30,0,0.479,0.127,0.191,0.248,0.203,0.2,0.2
6/1/2012,7.722,29,10.5,28,0,0.462,0.123,0.191,0.248,0.203,0.2,0.2
7/1/2012,7.275,35,14.5,19,0,0.447,0.121,0.191,0.248,0.203,0.2,0.2
8/1/2012,6.842,28.5,20,17,2.8,3.233,0.118,0.191,0.248,0.203,0.2,0.2
9/1/2012,6.422,24.5,11.5,24,0.1,0.52,0.115,0.191,0.248,0.203,0.2,0.2
10/1/2012,6.013,25,13,24,0,0.409,0.112,0.191,0.248,0.203,0.2,0.2
11/1/2012,5.615,22,12.5,24,0,0.398,0.109,0.191,0.248,0.203,0.2,0.2
12/1/2012,5.227,24.5,7.5,28,0,0.388,0.107,0.191,0.248,0.203,0.2,0.2
13/01/2012,4.848,25.5,12,25,0,0.379,0.104,0.191,0.248,0.203,0.2,0.2
14/01/2012,4.478,26,12,32,0,0.37,0.102,0.191,0.248,0.203,0.2,0.2
15/01/2012,4.115,31.5,12,31,0,0.362,0.099,0.191,0.248,0.203,0.2,0.2
16/01/2012,3.76,33.5,16.5,30,0,0.355,0.097,0.191,0.248,0.203,0.2,0.2
17/01/2012,3.413,36,21.5,27,0,0.348,0.095,0.191,0.248,0.203,0.2,0.2
18/01/2012,3.072,35,22,26,0,0.341,0.092,0.191,0.248,0.203,0.2,0.2
19/01/2012,2.737,34.5,15,31,1.2,1.535,0.09,0.191,0.248,0.203,0.2,0.2
20/01/2012,2.408,34.5,14,26,0,0.329,0.088,0.191,0.248,0.203,0.2,0.2
21/01/2012,2.085,33.5,15,31,0,0.323,0.086,0.191,0.248,0.203,0.2,0.2
22/01/2012,1.767,34.5,19.5,30,0,0.318,0.084,0.191,0.248,0.203,0.2,0.2
23/01/2012,1.455,33.5,19.5,31,0,0.313,0.082,0.191,0.248,0.203,0.2,0.2
24/01/2012,1.147,35,18,28,0,0.308,0.08,0.191,0.248,0.203,0.2,0.2
25/01/2012,0.844,37,17,30,0,0.303,0.078,0.191,0.248,0.203,0.2,0.2
26/01/2012,0.545,33.5,16.5,30,0,0.299,0.076,0.191,0.248,0.203,0.2,0.2
27/01/2012,0.251,36,17,29,0,0.294,0.074,0.191,0.248,0.203,0.2,0.2
28/01/2012,0,35.5,21.5,25,0,0.29,0.072,0.191,0.248,0.203,0.2,0.2
29/01/2012,0,34.5,20,21,0,0.286,0.07,0.191,0.248,0.203,0.2,0.2
30/01/2012,5.315,28,21,16,8.9,3.259,0.107,0.191,0.248,0.203,0.2,0.2
31/01/2012,5.758,24,13,29,5.8,5.357,0.11,0.191,0.248,0.203,0.2,0.2
1/2/2012,4.739,28,11,29,0,1.019,0.104,0.191,0.248,0.203,0.2,0.2
2/2/2012,4.371,27.5,13.5,15,0,0.368,0.101,0.191,0.248,0.203,0.2,0.2
3/2/2012,4.011,31,14,25,0,0.36,0.099,0.191,0.248,0.203,0.2,0.2
4/2/2012,3.658,35,15,26,0,0.353,0.096,0.191,0.248,0.203,0.2,0.2
5/2/2012,3.312,32.5,23,14,0,0.346,0.094,0.191,0.248,0.203,0.2,0.2
6/2/2012,2.973,25.5,9.5,28,0.5,0.839,0.092,0.191,0.248,0.203,0.2,0.2
7/2/2012,2.64,25.5,10.5,26,0,0.333,0.09,0.191,0.248,0.203,0.2,0.2
8/2/2012,2.313,26,9,29,0,0.327,0.087,0.191,0.248,0.203,0.2,0.2
9/2/2012,1.992,27,9.5,25,0,0.322,0.085,0.191,0.248,0.203,0.2,0.2
10/2/2012,1.675,28.5,11.5,23,0,0.316,0.083,0.191,0.248,0.203,0.2,0.2
11/2/2012,1.364,27.5,14.5,23,0,0.311,0.081,0.191,0.248,0.203,0.2,0.2
12/2/2012,1.058,28,13.5,23,0,0.306,0.079,0.191,0.248,0.203,0.2,0.2
13/02/2012,0.756,29.5,13,27,0,0.302,0.077,0.191,0.248,0.203,0.2,0.2
14/02/2012,0.458,33,14.5,27,0,0.297,0.075,0.191,0.248,0.203,0.2,0.2
15/02/2012,0.165,35.5,16.5,22,0,0.293,0.073,0.191,0.248,0.203,0.2,0.2
16/02/2012,0,35.5,21,18,0,0.289,0.071,0.191,0.248,0.203,0.2,0.2
17/02/2012,0,31.5,17,25,0.2,0.485,0.069,0.191,0.248,0.203,0.2,0.2
18/02/2012,0,33.5,14.5,24,0,0.282,0.067,0.191,0.248,0.203,0.2,0.2
19/02/2012,0,31,18.5,12,0,0.278,0.066,0.191,0.248,0.203,0.2,0.2
20/02/2012,0,26,19.5,12,0.2,0.475,0.064,0.191,0.248,0.203,0.2,0.2
21/02/2012,0,28.5,15.5,19,4.1,3.874,0.065,0.191,0.248,0.203,0.2,0.2
22/02/2012,0,31,14.5,26,0,0.497,0.062,0.191,0.248,0.203,0.2,0.2
23/02/2012,0,35,14,25,0,0.268,0.06,0.191,0.248,0.203,0.2,0.2
24/02/2012,0,37.5,14.5,26,0,0.265,0.058,0.191,0.248,0.203,0.2,0.2
25/02/2012,0,37.5,18.5,27,0,0.262,0.057,0.191,0.248,0.203,0.2,0.2
26/02/2012,0,35,23.5,22,0,0.259,0.055,0.191,0.248,0.203,0.2,0.2
27/02/2012,22.732,28,21.5,6,26.6,1.299,0.207,0.207,0.248,0.203,0.2,0.2
28/02/2012,51.102,26,20,8,35,1.689,0.245,0.305,0.275,0.203,0.2,0.2
29/02/2012,49.51,23,16,9,0.2,1.791,0.209,0.295,0.293,0.203,0.2,0.2
1/3/2012,84.482,24,16.5,6,62.5,1.222,0.248,0.305,0.355,0.233,0.2,0.2
2/3/2012,83.078,22.5,16,7,0,1.404,0.211,0.297,0.355,0.251,0.2,0.2
3/3/2012,86.433,18.5,15.5,6,4.5,1.146,0.211,0.288,0.355,0.264,0.203,0.2
4/3/2012,92.796,25,15.5,17,9.9,3.536,0.207,0.298,0.355,0.275,0.21,0.2
